latitude,longitude,elevation,time
52.94405,22.945466,129.3,
52.944184,22.945649,128.7,
52.945444,22.947992,125.4,
52.946248,22.950159,121.8,
52.94667,22.950444,121.9,
52.948159,22.951183,122.8,
52.948197,22.951874,122.6,
52.948845,22.955927,121.0,
52.948892,22.956162,121.4,
52.949046,22.95619,122.0,
52.949074,22.956508,122.5,
52.949842,22.957283,125.9,
52.950769,22.959082,127.8,
52.951232,22.959718,129.6,
52.951761,22.959822,130.8,
52.952241,22.960029,131.0,
52.952126,22.959947,131.1,
52.952618,22.960214,131.3,
52.953705,22.961056,134.2,
52.953725,22.961019,134.2,
52.953891,22.961074,134.9,
52.955257,22.961961,139.3,
52.956951,22.964131,141.0,
52.960289,22.967196,139.1,
52.96265,22.970071,141.8,
52.963018,22.969835,141.0,
52.96321,22.969774,140.6,
52.963042,22.969719,141.0,
52.962857,22.96991,141.3,
52.962747,22.970112,141.7,
52.962802,22.970263,141.9,
52.962838,22.970308,141.9,
52.967568,22.975594,133.9,
52.973211,22.981361,134.6,
52.974132,22.982179,136.4,
52.974367,22.982351,135.7,
52.97766,22.984148,126.6,
52.978207,22.984344,124.9,
52.979777,22.984037,128.2,
52.980174,22.983986,129.1,
52.981611,22.984195,131.8,
52.982417,22.984428,132.3,
52.98498,22.985711,136.8,
52.985254,22.985972,137.0,
52.987929,22.989396,130.5,
52.989386,22.991709,130.9,
52.992089,22.995548,133.2,
52.994488,22.999684,127.6,
52.995004,23.000211,128.0,
52.995869,23.000938,128.9,
52.996006,23.001018,128.8,
53.001116,23.001797,132.3,
53.004026,23.002103,132.8,
53.017043,23.002169,120.0,
53.019139,23.002834,125.3,
53.019462,23.003001,125.6,
53.019623,23.003518,126.2,
53.019623,23.003518,126.2,
53.019985,23.002996,126.4,
53.020109,23.003034,127.0,
53.022655,23.001855,131.0,
53.024507,23.001081,128.0,
53.035089,22.99633,144.4,
53.03659,22.995476,138.5,
53.038516,22.994173,131.2,
53.038993,22.993798,130.9,
53.043076,22.989706,124.3,
53.043585,22.989332,123.9,
53.045941,22.988669,126.4,
53.046079,22.986863,127.9,
53.046162,22.986249,128.2,
53.046389,22.985379,129.3,
53.047272,22.983637,131.4,
53.047416,22.983424,131.8,
53.049287,22.986517,129.0,
53.049706,22.986854,129.6,
53.05009,22.986979,129.7,
53.053044,22.986602,128.8,
53.055058,22.986313,134.6,
53.055458,22.98598,135.1,
53.060793,22.981185,123.4,
53.061291,22.980626,123.0,
53.071503,22.971535,119.0,
53.073154,22.969887,118.3,
53.074481,22.968374,119.9,
53.077317,22.965642,119.0,
53.077424,22.965228,118.3,
53.077276,22.963654,118.3,
53.077375,22.963252,118.9,
53.081549,22.95878,118.4,
53.088854,22.960947,126.5,
53.09184,22.961577,122.3,
